Restaurant,Location,Cuisine,Rating - Google,"Average out of the newewst 20 rating, 20/05/20",Delivery?,Opening Monday,Closing Monday,Opening Tuesday,Closing Tuesday,Opening Wednesday,Closing Wednsday,Opening Thursday,Closing Thursday,Opening Friday,Closing Friday,Opening Saturday,Closing Saturday,Opening Sunday,Closing Sunday
Bella Vista Restaurant,Belconnen,Western,4.2,0.7,Yes,12:00,21:30,12:00,21:30,12:00,21:30,12:00,21:30,12:00,21:30,17:30,21:30,00:00,00:00
Pho Hub,Belconnen,Asian,4.3,4.5,Yes,17:00,22:00,17:00,22:00,10:30,22:00,10:30,22:00,10:30,22:00,17:00,22:00,17:00,22:00
The Lighthouse Bar,Belconnen,Western,4.0,4.2,No,11:00,22:00,11:00,22:00,11:00,23:00,11:00,23:00,11:00,03:00,11:00,03:00,11:00,22:00
Sushihub,Belconnen,Asian,4.6,4.5,Yes,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,21:00,08:00,19:00,08:00,18:00
Thai Ayutthaya,Belconnen,Asian,3.9,3.7,Yes,00:00,00:00,00:00,00:00,00:00,00:00,17:00,22:00,17:00,22:00,17:00,22:00,00:00,00:00
Akiba,CBD,Asian,4.4,4.3,No,11:30,00:00,11:30,00:00,11:30,00:00,11:30,02:00,11:30,02:00,11:30,02:00,11:30,00:00
Vapiano,CBD,Western,4.0,3.7,Yes,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,11:00,23:00,11:00,22:00
PappaRich,CBD,Asian,4.0,4.1,Yes,11:30,21:30,11:30,21:30,11:30,21:30,11:30,21:30,11:30,22:00,11:30,22:00,11:30,21:30
Raku,CBD,Asian,4.6,4.3,Yes,11:30,23:00,11:30,23:00,11:30,23:00,11:30,23:00,11:30,23:00,11:30,23:00,11:30,23:00
CBD Dumpling house,CBD,Asian,4.1,4.3,Yes,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00
Dosa hut,CBD,Asian,3.9,3.9,Yes,00:00,00:00,00:00,00:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00,12:00,21:00
The Bavarian Woden,Woden,Western,3.9,3.6,Yes,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00
Woden Asian Noodle House,Woden,Asian,4.0,4.1,No,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,21:30
Belluciâ€™s Manuka,Woden,Western,4.2,3.7,Yes,12:00,22:30,12:00,22:30,12:00,22:30,12:00,22:30,12:00,22:30,18:00,22:30,18:00,22:30
Flavours of India,Woden,Asian,3.8,4.2,Yes,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,17:30,22:00,17:30,22:00
Schnitz Woden,Woden,Western,4.2,3.8,Yes,11:00,19:00,11:00,19:00,11:00,20:00,11:00,20:00,11:00,21:00,11:00,20:00,11:00,19:00
Lotus cuisine of india,Gungahlin,Asian,4.0,3.9,Yes,17:30,21:30,17:30,21:30,17:30,21:30,17:30,21:30,17:30,21:30,17:30,21:30,12:00,21:30
kokoro,Gungahlin,Asian,4.1,4.4,Yes,00:00,00:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
little siam,Gungahlin,Asian,4.4,4.2,Yes,00:00,00:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,17:00,22:00,17:00,22:00
Da Nunzio Caffe Bar Ristorante,Gungahlin,Western,4.3,4.3,No,00:00,00:00,00:00,00:00,11:30,21:30,11:30,21:30,11:30,21:30,08:00,21:30,08:00,21:30
Siren Bar and Restaurant,Gungahlin,Western,4.1,3.9,Yes,08:30,20:00,08:30,20:00,08:30,20:00,08:30,20:00,08:30,00:00,08:00,21:00,08:00,21:00
